Rank,Player,School,Position
1,Fernando Mendoza,Indiana,QB
2,Arvell Reese,Ohio State,LB
3,Jeremiyah Love,Notre Dame,RB
4,Caleb Downs,Ohio State,DS
5,Sonny Styles,Ohio State,LB
6,Rueben Bain Jr.,Miami (FL),ED
7,David Bailey,Texas Tech,ED
8,Mansoor Delane,LSU,CB
9,Carnell Tate,Ohio State,WR
10,Francis Mauigoa,Miami (FL),OT
11,Spencer Fano,Utah,OT
12,Makai Lemon,USC,WR
13,Olaivavega Ioane,Penn State,OG
14,Jordyn Tyson,Arizona State,WR
15,Jermod McCoy,Tennessee,CB
16,Kenyon Sadiq,Oregon,TE
17,Monroe Freeling,Georgia,OT
18,Dillon Thieneman,Oregon,DS
19,Keldric Faulk,Auburn,ED
20,Avieon Terrell,Clemson,CB
21,Kadyn Proctor,Alabama,OT
22,Peter Woods,Clemson,DI
23,Akheem Mesidor,Miami (FL),ED
24,Denzel Boston,Washington,WR
25,KC Concepcion,Texas A&M,WR
26,Emmanuel McNeil-Warren,Toledo,DS
27,Caleb Lomu,Utah,OT
28,Omar Cooper Jr.,Indiana,WR
29,Kayden McDonald,Ohio State,DI
30,T.J. Parker,Clemson,ED
31,Colton Hood,Tennessee,CB
32,Blake Miller,Clemson,OT
33,CJ Allen,Georgia,LB
34,Chris Johnson,San Diego State,CB
35,Cashius Howell,Texas A&M,ED
36,Max Iheanachor,Arizona State,OT
37,Caleb Banks,Florida,DI
38,Ty Simpson,Alabama,QB
39,D'Angelo Ponds,Indiana,CB
40,Zion Young,Missouri,ED
41,Emmanuel Pregnon,Oregon,OG
42,Brandon Cisse,South Carolina,CB
43,Lee Hunter,Texas Tech,DI
44,Christen Miller,Georgia,DI
45,R Mason Thomas,Oklahoma,ED
46,Jacob Rodriguez,Texas Tech,LB
47,Chase Bisontis,Texas A&M,OG
48,Anthony Hill Jr.,Texas,LB
49,Malachi Lawrence,UCF,ED
50,Gabe Jacas,Illinois,ED
51,Chris Bell,Louisville,WR
52,Jake Golday,Cincinnati,LB
53,Germie Bernard,Alabama,WR
54,Jadarian Price,Notre Dame,RB
55,Chris Brazzell II,Tennessee,WR
56,A.J. Haulcy,LSU,DS
57,Keionte Scott,Miami (FL),CB
58,Keith Abney II,Arizona State,CB
59,Eli Stowers,Vanderbilt,TE
60,Derrick Moore,Michigan,ED
61,Josiah Trotter,Missouri,LB
62,Treydan Stukes,Arizona,CB
63,Zachariah Branch,Georgia,WR
64,Gennings Dunker,Iowa,OG
65,Keylan Rutledge,Georgia Tech,OG
66,Antonio Williams,Clemson,WR
67,Caleb Tiernan,Northwestern,OT
68,Max Klare,Ohio State,TE
69,Elijah Sarratt,Indiana,WR
70,Dani Dennis-Sutton,Penn State,ED
71,Domonique Orange,Iowa State,DI
72,Kyle Louis,Pitt,LB
73,Malachi Fields,Notre Dame,WR
74,Connor Lew,Auburn,OC
75,Joshua Josephs,Tennessee,ED
76,Mike Washington Jr.,Arkansas,RB
77,Ted Hurst,Georgia State,WR
78,Romello Height,Texas Tech,ED
79,Davison Igbinosun,Ohio State,CB
80,Garrett Nussmeier,LSU,QB
81,Zakee Wheatley,Penn State,DS
82,Sam Hecht,Kansas State,OC
83,Bud Clark,TCU,DS
84,Malik Muhammad,Texas,CB
85,Gracen Halton,Oklahoma,DI
86,Kamari Ramsey,USC,DS
87,Skyler Bell,UConn,WR
88,Chandler Rivers,Duke,CB
89,Genesis Smith,Arizona,DS
90,Darrell Jackson Jr.,Florida State,DI
91,Jonah Coleman,Washington,RB
92,Jaishawn Barham,Michigan,ED
93,Bryce Lance,NDSU,WR
94,Jake Slaughter,Florida,OC
95,Deion Burks,Oklahoma,WR
96,Keyron Crawford,Auburn,ED
97,Logan Jones,Iowa,OC
98,Emmett Johnson,Nebraska,RB
99,Jalon Kilgore,South Carolina,DS
100,Julian Neal,Arkansas,CB
101,Ja'Kobi Lane,USC,WR
102,Devin Moore,Florida,CB
103,Daylen Everette,Georgia,CB
104,LT Overton,Alabama,ED
105,De'Zhaun Stribling,Ole Miss,WR
106,Will Lee III,Texas A&M,CB
107,Austin Barber,Florida,OT
108,Oscar Delp,Georgia,TE
109,Sam Roush,Stanford,TE
110,Justin Joly,NC State,TE
111,Brian Parker II,Duke,OC
112,Kaytron Allen,Penn State,RB
113,Deontae Lawson,Alabama,LB
114,Chris McClellan,Missouri,DI
115,Trey Zuhn III,Texas A&M,OC
116,Drew Allar,Penn State,QB
117,Michael Trigg,Baylor,TE
118,Nick Singleton,Penn State,RB
119,Tacario Davis,Washington,CB
120,Carson Beck,Miami (FL),QB
121,Brenen Thompson,Mississippi State,WR
122,Jalen Farmer,Kentucky,OG
123,Dametrious Crownover,Texas A&M,OT
124,Jack Endries,Texas,TE
125,Billy Schrauth,Notre Dame,OG
126,Kage Casey,Boise State,OG
127,Cole Payton,NDSU,QB
128,Dontay Corleone,Cincinnati,DI
129,VJ Payne,Kansas State,DS
130,Markel Bell,Miami (FL),OT
131,Max Llewellyn,Iowa,ED
132,Keyshaun Elliott,Arizona State,LB
133,Jude Bowry,Boston College,OT
134,Kaleb Elarms-Orr,TCU,LB
135,Eli Raridon,Notre Dame,TE
136,Zane Durant,Penn State,DI
137,Rayshaun Benny,Michigan,DI
138,Harold Perkins Jr.,LSU,LB
139,Kaleb Proctor,SE Louisiana,DI
140,Anthony Lucas,USC,ED
141,Ephesians Prysock,Washington,CB
142,Taurean York,Texas A&M,LB
143,Demond Claiborne,Wake Forest,RB
144,Drew Shelton,Penn State,OT
145,Charles Demmings,Stephen F. Austin,CB
146,Bryce Boettcher,Oregon,LB
147,Aiden Fisher,Indiana,LB
148,Beau Stephens,Iowa,OG
149,Dallen Bentley,Utah,TE
150,Tanner Koziol,Houston,TE
151,Kevin Coleman Jr.,Missouri,WR
152,DeMonte Capehart,Clemson,DI
153,Isaiah World,Oregon,OT
154,Taylen Green,Arkansas,QB
155,Joe Royer,Cincinnati,TE
156,Tim Keenan III,Alabama,DI
157,Jadon Canady,Oregon,CB
158,J.C. Davis,Illinois,OT
159,Michael Taaffe,Texas,DS
160,Tyler Onyedim,Texas A&M,DI
161,Josh Cameron,Baylor,WR
162,Parker Brailsford,Alabama,OC
163,Nadame Tucker,Western Michigan,ED
164,Hezekiah Masses,California,CB
165,Albert Regis,Texas A&M,DI
166,Keagen Trost,Missouri,OG
167,Cade Klubnik,Clemson,QB
168,Marlin Klein,Michigan,TE
169,Matt Gulbin,Michigan State,OC
170,Jakobe Thomas,Miami (FL),DS
171,Caden Curry,Ohio State,ED
172,Zxavian Harris,Ole Miss,DI
173,Nate Boerkircher,Texas A&M,TE
174,Eric McAlister,TCU,WR
175,Seth McGowan,Kentucky,RB
176,Jager Burton,Kentucky,OC
177,Ar'Maj Reed-Adams,Texas A&M,OG
178,Bishop Fitzgerald,USC,DS
179,Travis Burke,Memphis,OT
180,Diego Pounds,Ole Miss,OT
181,DJ Campbell,Texas,OG
182,Jeff Caldwell,Cincinnati,WR
183,Reggie Virgil,Texas Tech,WR
184,Dae'Quan Wright,Ole Miss,TE
185,Jimmy Rolder,Michigan,LB
186,Nick Barrett,South Carolina,DI
187,Pat Coogan,Indiana,OC
188,Le'Veon Moss,Texas A&M,RB
189,Tyreak Sapp,Florida,DI
190,Jack Kelly,BYU,LB
191,Jeremiah Wright,Auburn,OG
192,Justin Jefferson,Alabama,LB
193,Mason Reiger,Wisconsin,ED
194,Aamil Wagner,Notre Dame,OT
195,Josh Cuevas,Alabama,TE
196,Jalen Huskey,Maryland,DS
197,Domani Jackson,Alabama,CB
198,Louis Moore,Indiana,DS
199,Febechi Nwaiwu,Oklahoma,OG
200,CJ Daniels,Miami (FL),WR
201,Kendrick Law,Kentucky,WR
202,Adam Randall,Clemson,RB
203,Red Murdock,Buffalo,LB
204,Eric Rivers,Georgia Tech,WR
205,Cyrus Allen,Cincinnati,WR
206,Trey Moore,Texas,ED
207,TJ Hall,Iowa,CB
208,J'Mari Taylor,Virginia,RB
209,Eli Heidenreich,Navy,RB
210,Anez Cooper,Miami (FL),OG
211,Will Kacmarek,Ohio State,TE
212,Lander Barton,Utah,LB
213,John Michael Gyllenborg,Wyoming,TE
214,Mikail Kamara,Indiana,ED
215,Robert Spears-Jennings,Oklahoma,DS
216,Kaelon Black,Indiana,RB
217,Jaeden Roberts,Alabama,OG
218,Roman Hemby,Indiana,RB
219,Landon Robinson,Navy,DI
220,Sawyer Robertson,Baylor,QB
221,Skyler Gill-Howard,Texas Tech,DI
222,Caleb Douglas,Texas Tech,WR
223,Micah Morris,Georgia,OG
224,Thaddeus Dixon,North Carolina,CB
225,Logan Taylor,Boston College,OG
226,Kendal Daniels,Oklahoma,LB
227,Fa'alili Fa'amoe,Wake Forest,OT
228,Vincent Anthony Jr.,Duke,ED
229,Devon Marshall,NC State,CB
230,Dalton Johnson,Arizona,DS
231,Wesley Williams,Duke,ED
232,Malik Benson,Oregon,WR
233,Carver Willis,Washington,OG
234,Logan Fano,Utah,ED
235,Collin Wright,Stanford,CB
236,Barion Brown,LSU,WR
237,Colbie Young,Georgia,WR
238,Eric Gentry,USC,LB
239,Luke Altmyer,Illinois,QB
240,Cole Wisniewski,Texas Tech,DS
241,J. Michael Sturdivant,Florida,WR
242,Cameron Ball,Arkansas,DI
243,Owen Heinecke,Oklahoma,LB
244,George Gumbs Jr.,Florida,ED
245,Riley Nowakowski,Indiana,TE
246,Aaron Anderson,LSU,WR
247,Jaydn Ott,Oklahoma,RB
248,Matthew Hibner,SMU,TE
249,Jordan Van Den Berg,Georgia Tech,DI
250,Bryson Eason,Tennessee,DI
251,Fernando Carmona,Arkansas,OG
252,Alex Harkey,Oregon,OG
253,Quintayvious Hutchins,Boston College,ED
254,DeShon Singleton,Nebraska,DS
255,Jam Miller,Alabama,RB
256,Tyren Montgomery,John Carroll,WR
257,Kaden Wetjen,Iowa,WR
258,Deven Eastern,Minnesota,DI
259,Xavier Nwankpa,Iowa,DS
260,Brandon Cleveland,NC State,DI
261,Chase Roberts,BYU,WR
262,Toriano Pride Jr.,Missouri,CB
263,Andre Fuller,Toledo,CB
264,Robert Henry Jr.,UTSA,RB
265,Rahsul Faison,South Carolina,RB
266,Harrison Wallace III,Ole Miss,WR
267,Patrick Payton,LSU,ED
268,Lake McRee,USC,TE
269,Noah Whittington,Oregon,RB
270,Jaren Kanak,Oklahoma,TE
271,Xavian Sorey Jr.,Arkansas,LB
272,Lewis Bond,Boston College,WR
273,Rene Konga,Louisville,DI
274,Haynes King,Georgia Tech,QB
275,Jordan Hudson,SMU,WR
276,Desmond Reid,Pitt,RB
277,Aaron Graves,Iowa,DI
278,Diego Pavia,Vanderbilt,QB
279,Nolan Rucci,Penn State,OT
280,Lorenzo Styles Jr.,Ohio State,DS
281,Ethan Burke,Texas,ED
282,Wade Woodaz,Clemson,LB
283,Dillon Bell,Georgia,WR
284,Caden Barnett,Wyoming,OG
285,Avery Smith,Toledo,CB
286,Zavion Thomas,LSU,WR
287,Carsen Ryan,BYU,TE
288,Enrique Cruz Jr.,Kansas,OT
289,David Gusta,Kentucky,DI
290,Scooby Williams,Texas A&M,LB
291,Latrell McCutchin Sr.,Houston,CB
292,Namdi Obiazor,TCU,LB
293,Brent Austin,California,CB
294,Jack Pyburn,LSU,ED
295,Michael Heldman,Central Michigan,ED
296,Behren Morton,Texas Tech,QB
297,Max Bredeson,Michigan,FB
298,Jalon Daniels,Kansas,QB
299,Ahmari Harvey,Georgia Tech,CB
300,Jaden Dugger,Louisiana,LB