Rank,Player,Position,School
1,Arvell Reese,LB,Ohio State
2,Jeremiyah Love,RB,Notre Dame
3,Fernando Mendoza,QB,Indiana
4,Sonny Styles,LB,Ohio State
5,Caleb Downs,DS,Ohio State
6,Mansoor Delane,CB,LSU
7,David Bailey,ED,Texas Tech
8,Spencer Fano,OT,Utah
9,Rueben Bain Jr.,ED,Miami
10,Carnell Tate,WR,Ohio State
11,Francis Mauigoa,OT,Miami
12,Olaivavega Ioane,OG,Penn State
13,Makai Lemon,WR,USC
14,Jermod McCoy,CB,Tennessee
15,Keldric Faulk,ED,Auburn
16,Kenyon Sadiq,TE,Oregon
17,Monroe Freeling,OT,Georgia
18,Dillon Thieneman,DS,Oregon
19,Kadyn Proctor,OT,Alabama
20,Jordyn Tyson,WR,Arizona State
21,KC Concepcion,WR,Texas A&M
22,Omar Cooper Jr.,WR,Indiana
23,Emmanuel McNeil-Warren,DS,Toledo
24,Chris Johnson,CB,San Diego State
25,Caleb Lomu,OT,Utah
26,Denzel Boston,WR,Washington
27,Avieon Terrell,CB,Clemson
28,Akheem Mesidor,ED,Miami
29,Blake Miller,OT,Clemson
30,Colton Hood,CB,Tennessee
31,T.J. Parker,ED,Clemson
32,Kayden McDonald,DI,Ohio State
33,Max Iheanachor,OT,Arizona State
34,Chase Bisontis,OG,Texas A&M
35,Peter Woods,DI,Clemson
36,Malachi Lawrence,ED,UCF
37,Zion Young,ED,Missouri
38,D'Angelo Ponds,CB,Indiana
39,Cashius Howell,ED,Texas A&M
40,Jacob Rodriguez,LB,Texas Tech
41,Germie Bernard,WR,Alabama
42,Ty Simpson,QB,Alabama
43,Christen Miller,DI,Georgia
44,R Mason Thomas,ED,Oklahoma
45,Brandon Cisse,CB,South Carolina
46,CJ Allen,LB,Georgia
47,Chris Bell,WR,Louisville
48,Jake Golday,LB,Cincinnati
49,Gabe Jacas,ED,Illinois
50,Anthony Hill Jr.,LB,Texas
51,Jadarian Price,RB,Notre Dame
52,Caleb Banks,DI,Florida
53,Keionte Scott,CB,Miami
54,Keyron Crawford,ED,Auburn
55,Lee Hunter,DI,Texas Tech
56,Treydan Stukes,CB,Arizona
57,Emmanuel Pregnon,OG,Oregon
58,Malachi Fields,WR,Notre Dame
59,Antonio Williams,WR,Clemson
60,Dani Dennis-Sutton,ED,Penn State
61,Keith Abney II,CB,Arizona State
62,Keylan Rutledge,OG,Georgia Tech
63,Eli Stowers,TE,Vanderbilt
64,Domonique Orange,DI,Iowa State
65,Caleb Tiernan,OT,Northwestern
66,Max Klare,TE,Ohio State
67,De'Zhaun Stribling,WR,Mississippi
68,Davison Igbinosun,CB,Ohio State
69,Elijah Sarratt,WR,Indiana
70,A.J. Haulcy,DS,LSU
71,Gennings Dunker,OT,Iowa
72,Ted Hurst,WR,Georgia State
73,Josiah Trotter,LB,Missouri
74,Tyler Onyedim,DI,Texas A&M
75,Kyle Louis,LB,Pittsburgh
76,Zachariah Branch,WR,Georgia
77,Derrick Moore,ED,Michigan
78,Zakee Wheatley,DS,Penn State
79,Travis Burke,OT,Memphis
80,Romello Height,ED,Texas Tech
81,Garrett Nussmeier,QB,LSU
82,Brenen Thompson,WR,Mississippi State
83,Keyshaun Elliott,LB,Arizona State
84,Bud Clark,DS,TCU
85,Mike Washington Jr.,RB,Arkansas
86,Oscar Delp,TE,Georgia
87,Malik Muhammad,CB,Texas
88,Jalon Kilgore,CB,South Carolina
89,Jake Slaughter,OC,Florida
90,Bryce Lance,WR,North Dakota State
91,Chandler Rivers,CB,Duke
92,Sam Hecht,OC,Kansas State
93,Justin Joly,TE,North Carolina State
94,Jalen Farmer,OG,Kentucky
95,Logan Jones,OC,Iowa
96,Chris Brazzell II,WR,Tennessee
97,Markel Bell,OT,Miami
98,Daylen Everette,CB,Georgia
99,Deion Burks,WR,Oklahoma
100,Jaishawn Barham,ED,Michigan
101,Skyler Bell,WR,Connecticut
102,Joshua Josephs,ED,Tennessee
103,Gracen Halton,DI,Oklahoma
104,Darrell Jackson Jr.,DI,Florida State
105,Connor Lew,OC,Auburn
106,Kamari Ramsey,DS,USC
107,Devin Moore,CB,Florida
108,Sam Roush,TE,Stanford
109,LT Overton,ED,Alabama
110,Rayshaun Benny,DI,Michigan
111,Drew Allar,QB,Penn State
112,Genesis Smith,DS,Arizona
113,Jonah Coleman,RB,Washington
114,Michael Trigg,TE,Baylor
115,Dontay Corleone,DI,Cincinnati
116,Dametrious Crownover,OT,Texas A&M
117,Anthony Lucas,ED,USC
118,Deontae Lawson,LB,Alabama
119,Kaleb Proctor,DI,Southeastern Louisiana
120,Carson Beck,QB,Miami
121,Will Lee III,CB,Texas A&M
122,Billy Schrauth,OG,Notre Dame
123,CJ Daniels,WR,Miami
124,Zxavian Harris,DI,Mississippi
125,Mikail Kamara,ED,Indiana
126,Kage Casey,OT,Boise State
127,Landon Robinson,DI,Navy
128,Tacario Davis,CB,Washington
129,Tyreak Sapp,ED,Florida
130,Chris McClellan,DI,Missouri
131,Brian Parker II,OT,Duke
132,Seth McGowan,RB,Kentucky
133,Reggie Virgil,WR,Texas Tech
134,Jack Endries,TE,Texas
135,Eric McAlister,WR,TCU
136,Beau Stephens,OG,Iowa
137,Jude Bowry,OT,Boston College
138,Bryce Boettcher,LB,Oregon
139,Ja'Kobi Lane,WR,USC
140,Emmett Johnson,RB,Nebraska
141,Marlin Klein,TE,Michigan
142,Charles Demmings,CB,Stephen F. Austin
143,Mason Reiger,ED,Wisconsin
144,Jager Burton,OC,Kentucky
145,Dallen Bentley,TE,Utah
146,Trey Zuhn III,OT,Texas A&M
147,Tim Keenan III,DI,Alabama
148,Taurean York,LB,Texas A&M
149,Nicholas Singleton,RB,Penn State
150,J.C. Davis,OT,Illinois
151,Nadame Tucker,ED,Western Michigan
152,Austin Barber,OT,Florida
153,Le'Veon Moss,RB,Texas A&M
154,Devon Marshall,CB,North Carolina State
155,Max Llewellyn,ED,Iowa
156,Isaiah World,OT,Oregon
157,Jaydn Ott,RB,Oklahoma
158,Cyrus Allen,WR,Cincinnati
159,Caleb Douglas,WR,Texas Tech
160,Diego Pounds,OT,Mississippi
161,Nate Boerkircher,TE,Texas A&M
162,Kaytron Allen,RB,Penn State
163,Joe Royer,TE,Cincinnati
164,Eli Raridon,TE,Notre Dame
165,Ephesians Prysock,CB,Washington
166,DeMonte Capehart,DI,Clemson
167,Jeremiah Wright,OG,Auburn
168,Albert Regis,DI,Texas A&M
169,Cade Klubnik,QB,Clemson
170,Kevin Coleman Jr.,WR,Missouri
171,Josh Cameron,WR,Baylor
172,Kaleb Elarms-Orr,LB,TCU
173,Michael Taaffe,DS,Texas
174,Demond Claiborne,RB,Wake Forest
175,Julian Neal,CB,Arkansas
176,DJ Campbell,OG,Texas
177,Josh Cuevas,TE,Alabama
178,Thaddeus Dixon,CB,North Carolina
179,Aiden Fisher,LB,Indiana
180,Eric Rivers,WR,Georgia Tech
181,Jalen Stroman,DS,Notre Dame
182,Hezekiah Masses,CB,California
183,Aamil Wagner,OT,Notre Dame
184,Jeff Caldwell,WR,Cincinnati
185,Trey Moore,LB,Texas
186,Drew Shelton,OT,Penn State
187,J'Mari Taylor,RB,Virginia
188,Ar'maj Reed-Adams,OG,Texas A&M
189,Aaron Anderson,WR,LSU
190,Kaelon Black,RB,Indiana
191,Pat Coogan,OC,Indiana
192,Caden Curry,ED,Ohio State
193,Miles Kitselman,TE,Tennessee
194,Owen Heinecke,LB,Oklahoma
195,Quintayvious Hutchins,ED,Boston College
196,Nolan Rucci,OT,Penn State
197,John Michael Gyllenborg,TE,Wyoming
198,Kobe Baynes,OG,Kansas
199,Eli Heidenreich,FB,Navy
200,Jaeden Roberts,OG,Alabama
201,Tanner Koziol,TE,Houston
202,Zane Durant,DI,Penn State
203,Cole Wisniewski,DS,Texas Tech
204,Chase Roberts,WR,BYU
205,Bishop Fitzgerald,DS,USC
206,Matt Gulbin,OC,Michigan State
207,Cole Brevard,DI,Texas
208,VJ Payne,DS,Kansas State
209,Anez Cooper,OG,Miami
210,Lorenzo Styles Jr.,DS,Ohio State
211,Red Murdock,LB,Buffalo
212,Dae'Quan Wright,TE,Mississippi
213,Bryson Eason,DI,Tennessee
214,George Gumbs Jr.,ED,Florida
215,Skyler Gill-Howard,DI,Texas Tech
216,Zavion Thomas,WR,LSU
217,Tyren Montgomery,WR,John Carroll
218,Kendrick Law,WR,Kentucky
219,Desmond Reid,RB,Pittsburgh
220,Isaiah Nwokobia,DS,SMU
221,Jack Kelly,LB,BYU
222,TJ Hall,CB,Iowa
223,Harold Perkins Jr.,LB,LSU
224,Robert Spears-Jennings,DS,Oklahoma
225,Jadon Canady,CB,Oregon
226,Dane Key,WR,Nebraska
227,Andre Fuller,CB,Toledo
228,Parker Brailsford,OC,Alabama
229,Domani Jackson,CB,Alabama
230,Robert Henry Jr.,RB,UTSA
231,Riley Nowakowski,TE,Indiana
232,Colbie Young,WR,Georgia
233,TJ Guy,ED,Michigan
234,Nick Barrett,DI,South Carolina
235,Roman Hemby,RB,Indiana
236,Noah Thomas,WR,Georgia
237,Max Bredeson,TE,Michigan
238,J. Michael Sturdivant,WR,Florida
239,Kaden Wetjen,WR,Iowa
240,Deven Eastern,DI,Minnesota
241,Terion Stewart,RB,Virginia Tech
242,Jalon Daniels,QB,Kansas
243,DJ Harvey,CB,USC
244,Micah Morris,OG,Georgia
245,Vincent Anthony Jr.,ED,Duke
246,Lake McRee,TE,USC
247,Taylen Green,QB,Arkansas
248,Jalen Huskey,DS,Maryland
249,Cole Payton,QB,North Dakota State
250,DeVonta Smith,CB,Notre Dame
251,Eric Gentry,LB,USC
252,Rahsul Faison,RB,South Carolina
253,Ceyair Wright,CB,Nebraska
254,James Thompson Jr.,DI,Illinois
255,Fa'alili Fa'amoe,OT,Wake Forest
256,Luke Altmyer,QB,Illinois
257,Vinny Anthony II,WR,Wisconsin
258,Sawyer Robertson,QB,Baylor
259,Lewis Bond,WR,Boston College
260,Haynes King,QB,Georgia Tech
261,Keagen Trost,OT,Missouri
262,Joey Aguilar,QB,Tennessee
263,Ethan Onianwa,OG,Ohio State
264,Diego Pavia,QB,Vanderbilt
265,Michael Heldman,ED,Central Michigan
266,Jeadyn Lukus,CB,Clemson
267,Xavian Sorey Jr.,LB,Arkansas
268,Josh Moten,CB,Southern Miss
269,Joshua Braun,OG,Kentucky
270,Ahmari Harvey,CB,Georgia Tech
271,Patrick Payton,ED,LSU
272,Jalen Catalon,DS,Missouri
273,Miller Moss,QB,Louisville
274,Seydou Traore,TE,Mississippi State
275,Tyreek Chappell,CB,Texas A&M
276,Tommy Castellanos,QB,Florida State
277,Eric O'Neill,ED,Rutgers
278,Logan Fano,ED,Utah
279,Trebor Pena,WR,Penn State
280,Lander Barton,LB,Utah
281,Jake Retzlaff,QB,Tulane
282,Connor Tollison,OC,Missouri
283,Dillon Bell,WR,Georgia
284,Chip Trayanum,RB,Toledo
285,Jaren Kanak,TE,Oklahoma
286,Jamal Haynes,RB,Georgia Tech
287,Malik Benson,WR,Oregon
288,Joe Fagnano,QB,Connecticut
289,Keyshawn James-Newby,ED,New Mexico
290,Riley Mahlman,OT,Wisconsin
291,Kyron Drones,QB,Virginia Tech
292,Athan Kaliakmanis,QB,Rutgers
293,DJ Rogers,TE,TCU
294,Jam Miller,RB,Alabama
295,Louis Moore,DS,Indiana
296,Jordan Van Den Berg,DI,Georgia Tech
297,Tomas Rimac,OG,Virginia Tech
298,Jakobe Thomas,DS,Miami
299,RJ Maryland,TE,SMU
300,Jackie Marshall,DI,Baylor
301,Caden Barnett,OG,Wyoming
302,Damonic Williams,DI,Oklahoma
303,Keeshawn Silver,DI,USC
304,Carsen Ryan,TE,BYU
305,Xavier Nwankpa,DS,Iowa
306,Bryce Foster,OC,Kansas
307,Ben Bell,ED,Virginia Tech
308,Noah Whittington,RB,Oregon
309,Davion Carter,OG,Texas Tech
310,Jack Velling,TE,Michigan State
311,Latrell McCutchin Sr.,CB,Houston
312,Brandon Cleveland,DI,North Carolina State
313,Dean Connors,RB,Houston
314,Luke Petitbon,OC,Florida State
315,Behren Morton,QB,Texas Tech
316,Squirrel White,WR,Florida State
317,Micah Pettus,OT,Florida State
318,Gary Smith III,DI,UCLA
319,Hank Beatty,WR,Illinois
320,Jordan Hudson,WR,SMU
321,Austin Brown,DS,Wisconsin
322,Harrison Wallace III,WR,Mississippi
323,Jeff Persi,OT,Pittsburgh
324,Fernando Carmona,OG,Arkansas
325,Cameron Ball,DI,Arkansas
326,Adam Randall,RB,Clemson
327,Scooby Williams,LB,Texas A&M
328,DJ Singleton Jr.,DS,Nebraska
329,CJ Donaldson,RB,Ohio State
330,Jeremiah Franklin,TE,Boston College
331,Aidan Hubbard,ED,Northwestern
332,Wesley Williams,ED,Duke
333,Josh Thompson,OG,LSU
334,Jack Pyburn,ED,LSU
335,Stephen Hall,CB,Missouri
336,Caullin Lacy,WR,Louisville
337,Grayson James,QB,Boston College
338,Emmanuel Henderson Jr.,WR,Kansas
339,Logan Diggs,RB,Mississippi
340,Jaden Dugger,LB,Louisiana
341,Jaren Kump,OC,Utah
342,Mark Gronowski,QB,Iowa
343,Donavon Greene,WR,Virginia Tech
344,Bobby Jamison-Travis,DI,Auburn
345,Izavion Miller,OG,Auburn
346,Jimmy Rolder,LB,Michigan
347,Anthony Smith,WR,East Carolina
348,Dillon Wade,OG,Auburn
349,Febechi Nwaiwu,OG,Oklahoma
350,Wesley Bissainthe,LB,Miami
351,DaShawn Jones,CB,Alabama
352,Ahmaad Moses,DS,SMU
353,Al-Jay Henderson,RB,Buffalo
354,Chris Hilton Jr.,WR,LSU
355,Bauer Sharp,TE,LSU
356,Mason Randolph,OC,Boise State
357,Dean Miller,ED,Kansas
358,Jaylon Guilbeau,CB,Texas
359,Gunner Maldonado,DS,Kansas State
360,Tanner Arkin,TE,Illinois
361,Garrett DiGiorgio,OG,UCLA
362,Mark Petry,OC,Syracuse
363,Mo Westmoreland,ED,Tulane
364,Evan Beerntsen,OG,Northwestern
365,Kendal Daniels,DS,Oklahoma
366,DQ Smith,DS,South Carolina
367,Maverick McIvor,QB,Western Kentucky
368,Devin Mockobee,RB,Purdue
369,Avery Smith,CB,Toledo
370,Devonte Ross,WR,Penn State
371,Jimmori Robinson,ED,West Virginia
372,Karson Sharar,LB,Iowa
373,Rohan Jones,TE,Arkansas
374,Tristan Leigh,OT,Clemson
375,Daniel King,OG,North Carolina
376,Barion Brown,WR,LSU
377,Donaven McCulley,WR,Michigan
378,Marvin Jones Jr.,ED,Oklahoma
379,Enrique Cruz Jr.,OT,Kansas
380,Marcus Allen,CB,North Carolina
381,David Gusta,DI,Kentucky
382,JJ Johnson,DS,North Carolina State
383,Will Kacmarek,TE,Ohio State
384,Roydell Williams,RB,Florida State
385,Chris Adams,OT,Memphis
386,Weylin Lapuaho,OG,BYU
387,Kentrel Bullock,RB,South Alabama
388,Dalton Johnson,DS,Arizona
389,Shyheim Brown,DS,Florida State
390,Anthony Hankerson,RB,Oregon State
391,Malik Rutherford,WR,Georgia Tech
392,Matthew Hibner,TE,SMU
393,Trevor Brock,OT,Buffalo
394,Kam Dewberry,OG,Alabama
395,Wade Woodaz,LB,Clemson
396,Phillip Dunnam,DS,UCF
397,Blake Shapen,QB,Mississippi State
398,Carver Willis,OT,Washington
399,Angel Johnson,RB,Washington State
400,Kobe Prentice,WR,Baylor
401,Amari Niblack,TE,Texas A&M
402,Khalil Dinkins,TE,Penn State
403,J'Onre Reed,OC,USC
404,Ethan Burke,ED,Texas
405,Collin Wright,CB,Stanford
406,Davon Booth,RB,Mississippi State
407,Jalen Walthall,WR,Incarnate Word
408,Ethan Conner,TE,Troy
409,Mason Murphy,OT,Auburn
410,Nick Dawkins,OC,Penn State
411,Jacobian Guillory II,DI,LSU
412,Roy Williams,ED,Northern Illinois
413,Jordan Mosley,WR,Colorado State
414,Toriano Pride Jr.,CB,Missouri
415,Jaquez Moore,RB,Duke
416,Miles Capers,ED,Vanderbilt
417,Max Tomczak,WR,Youngstown State
418,Chamon Metayer,TE,Arizona State
419,Nyjalik Kelly,ED,UCF
420,Tyler Van Dyke,QB,SMU
421,Cash Jones,RB,Georgia
422,Matt Lauter,TE,Boise State
423,Corey Walker,ED,Wisconsin
424,Ryan Mosesso,OT,Massachusetts
425,Kaidon Salter,QB,Colorado
426,Jordan Pollard,LB,San Jose State
427,Alan Herron,OT,Maryland
428,Romello Brinson,WR,SMU
429,Caleb Fauria,TE,Delaware
430,Logan Taylor,OG,Boston College
431,Desmond Purnell,LB,Kansas State
432,Justin Jefferson,LB,Alabama
433,Ricardo Hallman,CB,Wisconsin
434,Kam Olds,ED,Kentucky
435,James Brockermeyer,OC,Miami
436,Triston Newson,LB,Missouri
437,Zach Calzada,QB,Kentucky
438,Ja'Mori Maclin,WR,Kentucky
439,Alex Harkey,OT,Oregon
440,Ka'ena Decambra,OC,Arizona
441,DT Sheffield,WR,Rutgers
442,Namdi Obiazor,LB,TCU
443,Trey Smack,K,Florida
444,Will Ferrin,K,BYU
445,Drew Stevens,K,Iowa
446,Dominic Zvada,K,Michigan
447,Brett Thorson,P,Georgia
448,Ryan Eckley,P,Michigan State
449,Jack Stonehouse,P,Syracuse
450,Tommy Doman,P,Florida