NAME,POSITION,SCHOOL,
Oscar Delp,TE,Georgia
Jonah Coleman,RB,Washington
Anthony Hill Jr.,LB,Texas
Demond Clairborne,RB,Wake Forest
Lance Mason,TE,Washington
Tristan Leigh,OT,Clemson
Ted Hurst,WR,Georgia State
Domonique Orange,DT,Iowa State
Jake Golday,LB,Cincinnati
CJ Daniels,WR,Miami
Darrell Jackson,DT,Florida State
Shiyazh Pete,OL,New Mexico State
De'Zhaun Stribling,WR,Ole Miss
Domonique Orange,DT,Iowa State
Vinny Anthony,WR,Wisconsin
Uar Bernard,DL,IPP
Mason Reiger,EDGE,Wisconsin
Emmett Johnson,RB,Nebraska